2017.06.20,00:00,1.27339,1.27383,1.27228,1.27275,7056
2017.06.20,04:00,1.27274,1.27405,1.27271,1.27366,8542
2017.06.20,08:00,1.27365,1.27575,1.26673,1.26913,24771
2017.06.20,12:00,1.26912,1.27011,1.26490,1.26510,26212
2017.06.20,16:00,1.26513,1.26555,1.26024,1.26238,30418
2017.06.20,20:00,1.26238,1.26360,1.26135,1.26268,10449
2017.06.21,00:00,1.26277,1.26338,1.26203,1.26209,8141
2017.06.21,04:00,1.26209,1.26344,1.26208,1.26302,6160
2017.06.21,08:00,1.26302,1.26338,1.25882,1.26072,20477
2017.06.21,12:00,1.26071,1.27092,1.26019,1.27001,31383
2017.06.21,16:00,1.26999,1.27023,1.26495,1.26577,24518
2017.06.21,20:00,1.26575,1.26719,1.26400,1.26703,12192
2017.06.22,00:00,1.26706,1.26827,1.26675,1.26726,7945
2017.06.22,04:00,1.26726,1.26736,1.26571,1.26719,8660
2017.06.22,08:00,1.26757,1.26860,1.26557,1.26615,13681
2017.06.22,12:00,1.26618,1.26741,1.26531,1.26545,25415
2017.06.22,16:00,1.26545,1.26776,1.26531,1.26658,23569
2017.06.22,20:00,1.26658,1.26907,1.26618,1.26809,10470
2017.06.23,00:00,1.26791,1.26856,1.26745,1.26848,6203
2017.06.23,04:00,1.26848,1.27042,1.26817,1.26999,9802
2017.06.23,08:00,1.27001,1.27435,1.26951,1.27304,22438
2017.06.23,12:00,1.27304,1.27396,1.27138,1.27226,22542
2017.06.23,16:00,1.27226,1.27424,1.27049,1.27160,21631
2017.06.23,20:00,1.27161,1.27309,1.27154,1.27176,7834
2017.06.26,00:00,1.27347,1.27492,1.27294,1.27450,6175
2017.06.26,04:00,1.27449,1.27540,1.27412,1.27419,7859
2017.06.26,08:00,1.27420,1.27588,1.27249,1.27390,19023
2017.06.26,12:00,1.27390,1.27514,1.27054,1.27373,22195
2017.06.26,16:00,1.27372,1.27512,1.27143,1.27224,22141
2017.06.26,20:00,1.27225,1.27260,1.27098,1.27229,7514
